Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	
Timestamp	Timestamp	Low Noise Accelerometer X	Low Noise Accelerometer X	Low Noise Accelerometer Y	Low Noise Accelerometer Y	Low Noise Accelerometer Z	Low Noise Accelerometer Z	Wide Range Accelerometer X	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Wide Range Accelerometer Z	Gyroscope X	Gyroscope X	Gyroscope Y	Gyroscope Y	Gyroscope Z	Gyroscope Z	Magnetometer X	Magnetometer X	Magnetometer Y	Magnetometer Y	Magnetometer Z	Magnetometer Z	
RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	
no units	mSecs	no units	m/(sec^2)*	no units	m/(sec^2)*	no units	m/(sec^2)*	no units	m/(sec^2)*	no units	m/(sec^2)*	no units	m/(sec^2)*	no units	deg/sec*	no units	deg/sec*	no units	deg/sec*	no units	local*	no units	local*	no units	local*	
640	104000	2505	1,3855421686747	1932	-5,51807228915663	1411	7,66265060240964	-2560	1,56958920907419	-9664	5,92519926425506	-13120	8,04414469650521	0	0	0	0	0	0	183	0,166363636363636	824	-0,749090909090909	-325	-0,331632653061225	
1280	104019,53125	2504	1,34939759036145	1935	-5,50602409638554	1411	7,66265060240964	-2560	1,56958920907419	-9536	5,84671980380135	-13056	8,00490496627836	2865	4,82442748091603	-316	-43,7404580152672	6195	-94,5801526717557	191	0,173636363636364	815	-0,740909090909091	-334	-0,340816326530612	
1920	104039,0625	2499	1,48192771084337	1924	-5,44578313253012	1411	7,66265060240964	-2624	1,60882893930104	-9536	5,84671980380135	-13184	8,08338442673207	-64	0,0916030534351145	-6	0,977099236641221	194	-2,9618320610687	187	0,17	814	-0,74	-327	-0,333673469387755	
2560	104058,59375	2505	1,51807228915663	1921	-5,51807228915663	1413	7,63855421686747	-2688	1,6480686695279	-9728	5,96443899448191	-13184	8,08338442673207	25	-0,0458015267175573	3	-0,381679389312977	158	-2,41221374045802	185	0,168181818181818	841	-0,764545454545455	-336	-0,342857142857143	
3200	104078,125	2507	1,40963855421687	1930	-5,5421686746988	1415	7,6144578313253	-2624	1,60882893930104	-9728	5,96443899448191	-13184	8,08338442673207	3	-0,717557251908397	47	-0,0458015267175573	120	-1,83206106870229	187	0,17	822	-0,747272727272727	-335	-0,341836734693878	
3840	104097,65625	2510	1,32530120481928	1937	-5,57831325301205	1419	7,56626506024096	-2432	1,49110974862048	-9856	6,04291845493562	-13120	8,04414469650521	43	0,0916030534351145	-6	-0,656488549618321	83	-1,26717557251908	180	0,163636363636364	838	-0,761818181818182	-335	-0,341836734693878	
4480	104117,1875	2510	1,24096385542169	1944	-5,57831325301205	1419	7,56626506024096	-2304	1,41263028816677	-9792	6,00367872470877	-12928	7,92642550582465	66	0,244274809160305	-16	-1,00763358778626	52	-0,793893129770992	186	0,169090909090909	839	-0,762727272727273	-337	-0,343877551020408	
5120	104136,71875	2505	1,34939759036145	1935	-5,51807228915663	1416	7,60240963855422	-2560	1,56958920907419	-9792	6,00367872470877	-13056	8,00490496627836	66	1,00763358778626	-66	-1,00763358778626	74	-1,12977099236641	185	0,168181818181818	825	-0,75	-326	-0,33265306122449	
5760	104156,25	2503	1,26506024096386	1942	-5,49397590361446	1408	7,69879518072289	-2304	1,41263028816677	-9664	5,92519926425506	-13248	8,12262415695892	42	2,59541984732824	-170	-0,641221374045801	99	-1,51145038167939	179	0,162727272727273	838	-0,761818181818182	-332	-0,338775510204082	
6400	104175,78125	2505	1,30120481927711	1939	-5,51807228915663	1408	7,69879518072289	-2368	1,45187001839362	-9728	5,96443899448191	-13312	8,16186388718578	-16	1,31297709923664	-86	0,244274809160305	81	-1,23664122137405	189	0,171818181818182	817	-0,742727272727273	-331	-0,337755102040816	
7040	104195,3125	2502	1,40963855421687	1930	-5,48192771084337	1405	7,73493975903614	-2752	1,68730839975475	-9664	5,92519926425506	-13312	8,16186388718578	58	1,37404580152672	-90	-0,885496183206107	92	-1,40458015267176	185	0,168181818181818	838	-0,761818181818182	-329	-0,335714285714286	
7680	104214,84375	2504	1,43373493975904	1928	-5,50602409638554	1409	7,68674698795181	-2560	1,56958920907419	-9856	6,04291845493562	-13440	8,24034334763948	34	0,748091603053435	-49	-0,519083969465649	116	-1,77099236641221	190	0,172727272727273	825	-0,75	-333	-0,339795918367347	
8320	104234,375	2509	1,44578313253012	1927	-5,56626506024096	1412	7,65060240963855	-2752	1,68730839975475	-9728	5,96443899448191	-13248	8,12262415695892	12	-0,50381679389313	33	-0,183206106870229	122	-1,86259541984733	191	0,173636363636364	816	-0,741818181818182	-325	-0,331632653061225	
8960	104253,90625	2510	1,44578313253012	1927	-5,57831325301205	1414	7,62650602409639	-2624	1,60882893930104	-9792	6,00367872470877	-13184	8,08338442673207	36	-1,11450381679389	73	-0,549618320610687	106	-1,61832061068702	186	0,169090909090909	833	-0,757272727272727	-327	-0,333673469387755	
9600	104273,4375	2510	1,36144578313253	1934	-5,57831325301205	1417	7,59036144578313	-2496	1,53034947884733	-9792	6,00367872470877	-13056	8,00490496627836	61	-0,274809160305344	18	-0,931297709923664	86	-1,31297709923664	191	0,173636363636364	833	-0,757272727272727	-333	-0,339795918367347	
10240	104292,96875	2507	1,36144578313253	1934	-5,5421686746988	1424	7,50602409638554	-2560	1,56958920907419	-9792	6,00367872470877	-13056	8,00490496627836	32	-0,198473282442748	13	-0,488549618320611	95	-1,45038167938931	186	0,169090909090909	817	-0,742727272727273	-329	-0,335714285714286	
10880	104312,5	2508	1,33734939759036	1936	-5,55421686746988	1422	7,53012048192771	-2560	1,56958920907419	-9792	6,00367872470877	-12992	7,9656652360515	14	0,213740458015267	-14	-0,213740458015267	125	-1,90839694656489	186	0,169090909090909	831	-0,755454545454545	-327	-0,333673469387755	
11520	104332,03125	2507	1,4578313253012	1926	-5,5421686746988	1409	7,68674698795181	-2688	1,6480686695279	-9792	6,00367872470877	-13248	8,12262415695892	-10	0,946564885496183	-62	0,152671755725191	145	-2,21374045801527	182	0,165454545454545	844	-0,767272727272727	-327	-0,333673469387755	
12160	104351,5625	2503	1,57831325301205	1916	-5,49397590361446	1402	7,7710843373494	-2816	1,72654812998161	-9664	5,92519926425506	-13376	8,20110361741263	13	2,53435114503817	-166	-0,198473282442748	97	-1,48091603053435	182	0,165454545454545	823	-0,748181818181818	-326	-0,33265306122449	
12800	104371,09375	2508	1,5421686746988	1919	-5,55421686746988	1395	7,85542168674699	-2880	1,76578786020846	-9664	5,92519926425506	-13504	8,27958307786634	2	2,03053435114504	-133	-0,0305343511450382	39	-0,595419847328244	192	0,174545454545455	820	-0,745454545454545	-336	-0,342857142857143	
13440	104390,625	2509	1,40963855421687	1930	-5,56626506024096	1399	7,80722891566265	-2752	1,68730839975475	-9792	6,00367872470877	-13568	8,31882280809319	25	1,37404580152672	-90	-0,381679389312977	-26	0,396946564885496	178	0,161818181818182	844	-0,767272727272727	-332	-0,338775510204082	
14080	104410,15625	2510	1,31325301204819	1938	-5,57831325301205	1401	7,78313253012048	-2560	1,56958920907419	-9792	6,00367872470877	-13376	8,20110361741263	56	0,244274809160305	-16	-0,854961832061069	-71	1,08396946564885	186	0,169090909090909	833	-0,757272727272727	-328	-0,33469387755102	
14720	104429,6875	2513	1,30120481927711	1939	-5,6144578313253	1410	7,67469879518072	-2304	1,41263028816677	-9856	6,04291845493562	-13312	8,16186388718578	20	-0,396946564885496	26	-0,305343511450382	-49	0,748091603053435	179	0,162727272727273	831	-0,755454545454545	-333	-0,339795918367347	
15360	104449,21875	2512	1,25301204819277	1943	-5,60240963855422	1415	7,6144578313253	-2368	1,45187001839362	-9856	6,04291845493562	-13248	8,12262415695892	-65	-0,625954198473282	41	0,99236641221374	5	-0,0763358778625954	185	0,168181818181818	819	-0,744545454545455	-327	-0,333673469387755	
16000	104468,75	2506	1,34939759036145	1935	-5,53012048192771	1416	7,60240963855422	-2432	1,49110974862048	-9664	5,92519926425506	-13184	8,08338442673207	-121	0,519083969465649	-34	1,84732824427481	41	-0,625954198473282	185	0,168181818181818	844	-0,767272727272727	-336	-0,342857142857143	
16640	104488,28125	2503	1,42168674698795	1929	-5,49397590361446	1420	7,55421686746988	-2624	1,60882893930104	-9664	5,92519926425506	-12864	7,88718577559779	-84	1,32824427480916	-87	1,2824427480916	31	-0,473282442748092	182	0,165454545454545	819	-0,744545454545455	-327	-0,333673469387755	
17280	104507,8125	2511	1,43373493975904	1928	-5,59036144578313	1424	7,50602409638554	-2688	1,6480686695279	-9920	6,08215818516248	-12928	7,92642550582465	-96	0,610687022900763	-40	1,46564885496183	8	-0,122137404580153	183	0,166363636363636	825	-0,75	-331	-0,337755102040816	
17920	104527,34375	2516	1,42168674698795	1929	-5,65060240963855	1427	7,46987951807229	-2688	1,6480686695279	-9984	6,12139791538933	-12992	7,9656652360515	-75	0,854961832061069	-56	1,14503816793893	-47	0,717557251908397	190	0,172727272727273	812	-0,738181818181818	-335	-0,341836734693878	
18560	104546,875	2509	1,36144578313253	1934	-5,56626506024096	1420	7,55421686746988	-2560	1,56958920907419	-9856	6,04291845493562	-12992	7,9656652360515	-119	2,70229007633588	-177	1,81679389312977	-13	0,198473282442748	188	0,170909090909091	814	-0,74	-326	-0,33265306122449	
19200	104566,40625	2505	1,40963855421687	1930	-5,51807228915663	1412	7,65060240963855	-2624	1,60882893930104	-9664	5,92519926425506	-13184	8,08338442673207	-159	4,29007633587786	-281	2,42748091603053	-2	0,0305343511450382	180	0,163636363636364	841	-0,764545454545455	-333	-0,339795918367347	
19840	104585,9375	2497	1,32530120481928	1937	-5,42168674698795	1409	7,68674698795181	-2496	1,53034947884733	-9536	5,84671980380135	-13248	8,12262415695892	-149	4,03053435114504	-264	2,27480916030534	-17	0,259541984732824	189	0,171818181818182	820	-0,745454545454545	-332	-0,338775510204082	
20480	104605,46875	2498	1,36144578313253	1934	-5,43373493975904	1404	7,74698795180723	-2496	1,53034947884733	-9600	5,8859595340282	-13312	8,16186388718578	-146	3,64885496183206	-239	2,22900763358779	-10	0,152671755725191	184	0,167272727272727	816	-0,741818181818182	-326	-0,33265306122449	
21120	104625	2501	1,40963855421687	1930	-5,46987951807229	1411	7,66265060240964	-2560	1,56958920907419	-9600	5,8859595340282	-13248	8,12262415695892	-93	1,52671755725191	-100	1,41984732824427	-17	0,259541984732824	181	0,164545454545455	831	-0,755454545454545	-332	-0,338775510204082	
21760	104644,53125	2506	1,34939759036145	1935	-5,53012048192771	1413	7,63855421686747	-2560	1,56958920907419	-9792	6,00367872470877	-13120	8,04414469650521	-76	0,442748091603053	-29	1,16030534351145	4	-0,0610687022900763	186	0,169090909090909	814	-0,74	-326	-0,33265306122449	
