Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	
Timestamp	Timestamp	Low Noise Accelerometer X	Low Noise Accelerometer X	Low Noise Accelerometer Y	Low Noise Accelerometer Y	Low Noise Accelerometer Z	Low Noise Accelerometer Z	Wide Range Accelerometer X	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Wide Range Accelerometer Z	Gyroscope X	Gyroscope X	Gyroscope Y	Gyroscope Y	Gyroscope Z	Gyroscope Z	Magnetometer X	Magnetometer X	Magnetometer Y	Magnetometer Y	Magnetometer Z	Magnetometer Z	
RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	
no units	mSecs	no units	m/(sec^2)*	no units	m/(sec^2)*	no units	m/(sec^2)*	no units	m/(sec^2)*	no units	m/(sec^2)*	no units	m/(sec^2)*	no units	deg/sec*	no units	deg/sec*	no units	deg/sec*	no units	local*	no units	local*	no units	local*	
640	50000	1238	2,42168674698795	1846	9,74698795180723	2043	0,0481927710843374	-4096	2,5113427345187	15872	-9,73145309625996	64	-0,0392397302268547	0	0	0	0	0	0	330	0,3	212	-0,192727272727273	-512	-0,522448979591837	
1280	50019,53125	1242	2,3855421686747	1849	9,69879518072289	2044	0,036144578313253	-4288	2,62906192519926	15680	-9,6137339055794	128	-0,0784794604537094	-4157	-50,6259541984733	3316	63,4656488549618	5174	-78,9923664122137	330	0,3	223	-0,202727272727273	-517	-0,527551020408163	
1920	50039,0625	1246	2,33734939759036	1853	9,65060240963856	2044	0,036144578313253	-4096	2,5113427345187	15552	-9,53525444512569	0	0	-66	-0,793893129770992	52	1,00763358778626	-26	0,396946564885496	316	0,287272727272727	219	-0,199090909090909	-518	-0,528571428571429	
2560	50058,59375	1238	2,34939759036145	1852	9,74698795180723	2045	0,0240963855421687	-4224	2,58982219497241	15744	-9,65297363580625	64	-0,0392397302268547	-74	-0,198473282442748	13	1,12977099236641	-35	0,534351145038168	324	0,294545454545455	224	-0,203636363636364	-516	-0,526530612244898	
3200	50078,125	1242	2,28915662650602	1857	9,69879518072289	2046	0,0120481927710843	-4032	2,47210300429185	15744	-9,65297363580625	128	-0,0784794604537094	-131	-0,595419847328244	39	2	36	-0,549618320610687	331	0,300909090909091	227	-0,206363636363636	-523	-0,533673469387755	
3840	50097,65625	1236	2,36144578313253	1851	9,7710843373494	2048	-0,0120481927710843	-4032	2,47210300429185	15744	-9,65297363580625	64	-0,0392397302268547	-137	-1,14503816793893	75	2,09160305343511	96	-1,46564885496183	323	0,293636363636364	218	-0,198181818181818	-515	-0,525510204081633	
4480	50117,1875	1239	2,40963855421687	1847	9,73493975903614	2049	-0,0240963855421687	-4352	2,66830165542612	15680	-9,6137339055794	128	-0,0784794604537094	-57	-0,610687022900763	40	0,870229007633588	97	-1,48091603053435	324	0,294545454545455	226	-0,205454545454545	-520	-0,530612244897959	
5120	50136,71875	1235	2,48192771084337	1841	9,78313253012048	2046	0,0120481927710843	-4160	2,55058246474555	15872	-9,73145309625996	-64	0,0392397302268547	25	-0,274809160305344	18	-0,381679389312977	60	-0,916030534351145	327	0,297272727272727	220	-0,2	-515	-0,525510204081633	
5760	50156,25	1240	2,42168674698795	1846	9,72289156626506	2047	0	-4288	2,62906192519926	16000	-9,80993255671367	128	-0,0784794604537094	-15	0,427480916030534	-28	0,229007633587786	53	-0,809160305343511	320	0,290909090909091	232	-0,210909090909091	-514	-0,524489795918367	
6400	50175,78125	1237	2,39759036144578	1848	9,75903614457831	2046	0,0120481927710843	-4224	2,58982219497241	15808	-9,69221336603311	0	0	-74	-0,0458015267175573	3	1,12977099236641	46	-0,702290076335878	329	0,299090909090909	223	-0,202727272727273	-520	-0,530612244897959	
7040	50195,3125	1237	2,40963855421687	1847	9,75903614457831	2046	0,0120481927710843	-4096	2,5113427345187	15744	-9,65297363580625	64	-0,0392397302268547	-37	0,229007633587786	-15	0,564885496183206	32	-0,488549618320611	331	0,300909090909091	212	-0,192727272727273	-517	-0,527551020408163	
7680	50214,84375	1239	2,40963855421687	1847	9,73493975903614	2044	0,036144578313253	-4224	2,58982219497241	15808	-9,69221336603311	-192	0,117719190680564	7	0,152671755725191	-10	-0,106870229007634	18	-0,274809160305344	325	0,295454545454545	226	-0,205454545454545	-518	-0,528571428571429	
8320	50234,375	1240	2,4578313253012	1843	9,72289156626506	2041	0,072289156626506	-4224	2,58982219497241	15680	-9,6137339055794	-192	0,117719190680564	30	0,0458015267175573	-3	-0,458015267175573	59	-0,900763358778626	330	0,3	222	-0,201818181818182	-517	-0,527551020408163	
8960	50253,90625	1239	2,42168674698795	1846	9,73493975903614	2039	0,0963855421686747	-4224	2,58982219497241	15808	-9,69221336603311	-64	0,0392397302268547	-2	0,259541984732824	-17	0,0305343511450382	84	-1,2824427480916	323	0,293636363636364	218	-0,198181818181818	-522	-0,53265306122449	
9600	50273,4375	1244	2,42168674698795	1846	9,67469879518072	2039	0,0963855421686747	-4224	2,58982219497241	15680	-9,6137339055794	-192	0,117719190680564	-14	0,625954198473282	-41	0,213740458015267	108	-1,64885496183206	323	0,293636363636364	227	-0,206363636363636	-518	-0,528571428571429	
10240	50292,96875	1239	2,42168674698795	1846	9,73493975903614	2037	0,120481927710843	-4160	2,55058246474555	15808	-9,69221336603311	-256	0,156958920907419	-6	0,534351145038168	-35	0,0916030534351145	64	-0,977099236641221	331	0,300909090909091	212	-0,192727272727273	-514	-0,524489795918367	
10880	50312,5	1241	2,40963855421687	1847	9,71084337349398	2034	0,156626506024096	-4224	2,58982219497241	15744	-9,65297363580625	-128	0,0784794604537094	9	0,610687022900763	-40	-0,137404580152672	56	-0,854961832061069	321	0,291818181818182	219	-0,199090909090909	-521	-0,531632653061225	
11520	50332,03125	1236	2,3855421686747	1849	9,7710843373494	2037	0,120481927710843	-4224	2,58982219497241	15808	-9,69221336603311	-192	0,117719190680564	2	0,473282442748092	-31	-0,0305343511450382	41	-0,625954198473282	331	0,300909090909091	211	-0,191818181818182	-517	-0,527551020408163	
12160	50351,5625	1238	2,43373493975904	1845	9,74698795180723	2040	0,0843373493975904	-4224	2,58982219497241	15680	-9,6137339055794	-128	0,0784794604537094	-6	-0,0152671755725191	1	0,0916030534351145	77	-1,17557251908397	331	0,300909090909091	211	-0,191818181818182	-514	-0,524489795918367	
12800	50371,09375	1240	2,42168674698795	1846	9,72289156626506	2041	0,072289156626506	-4224	2,58982219497241	15936	-9,77069282648682	-256	0,156958920907419	-55	0,412213740458015	-27	0,83969465648855	83	-1,26717557251908	331	0,300909090909091	226	-0,205454545454545	-519	-0,529591836734694	
13440	50390,625	1237	2,34939759036145	1852	9,75903614457831	2041	0,072289156626506	-4096	2,5113427345187	15808	-9,69221336603311	-128	0,0784794604537094	-91	0,122137404580153	-8	1,38931297709924	122	-1,86259541984733	331	0,300909090909091	210	-0,190909090909091	-518	-0,528571428571429	
14080	50410,15625	1240	2,32530120481928	1854	9,72289156626506	2044	0,036144578313253	-3904	2,39362354383814	15808	-9,69221336603311	128	-0,0784794604537094	-64	0,259541984732824	-17	0,977099236641221	112	-1,70992366412214	322	0,292727272727273	229	-0,208181818181818	-518	-0,528571428571429	
14720	50429,6875	1240	2,39759036144578	1848	9,72289156626506	2044	0,036144578313253	-4160	2,55058246474555	15744	-9,65297363580625	128	-0,0784794604537094	-2	0,458015267175573	-30	0,0305343511450382	105	-1,6030534351145	328	0,298181818181818	223	-0,202727272727273	-521	-0,531632653061225	
15360	50449,21875	1243	2,40963855421687	1847	9,68674698795181	2045	0,0240963855421687	-4160	2,55058246474555	15680	-9,6137339055794	64	-0,0392397302268547	46	0,900763358778626	-59	-0,702290076335878	100	-1,52671755725191	321	0,291818181818182	223	-0,202727272727273	-522	-0,53265306122449	
16000	50468,75	1238	2,44578313253012	1844	9,74698795180723	2043	0,0481927710843374	-4224	2,58982219497241	15808	-9,69221336603311	-128	0,0784794604537094	1	0,763358778625954	-50	-0,0152671755725191	92	-1,40458015267176	326	0,296363636363636	225	-0,204545454545455	-515	-0,525510204081633	
16640	50488,28125	1239	2,42168674698795	1846	9,73493975903614	2043	0,0481927710843374	-4160	2,55058246474555	15808	-9,69221336603311	-128	0,0784794604537094	-6	0,885496183206107	-58	0,0916030534351145	89	-1,3587786259542	328	0,298181818181818	214	-0,194545454545455	-512	-0,522448979591837	
17280	50507,8125	1239	2,40963855421687	1847	9,73493975903614	2042	0,0602409638554217	-4224	2,58982219497241	15872	-9,73145309625996	-128	0,0784794604537094	23	1,00763358778626	-66	-0,351145038167939	77	-1,17557251908397	322	0,292727272727273	227	-0,206363636363636	-526	-0,536734693877551	
17920	50527,34375	1245	2,44578313253012	1844	9,66265060240964	2039	0,0963855421686747	-4288	2,62906192519926	15680	-9,6137339055794	-256	0,156958920907419	94	1,22137404580153	-80	-1,43511450381679	60	-0,916030534351145	330	0,3	212	-0,192727272727273	-517	-0,527551020408163	
18560	50546,875	1242	2,42168674698795	1846	9,69879518072289	2035	0,144578313253012	-4224	2,58982219497241	15744	-9,65297363580625	-128	0,0784794604537094	108	1,41984732824427	-93	-1,64885496183206	43	-0,656488549618321	319	0,29	231	-0,21	-517	-0,527551020408163	
19200	50566,40625	1241	2,44578313253012	1844	9,71084337349398	2036	0,132530120481928	-4288	2,62906192519926	15744	-9,65297363580625	-256	0,156958920907419	80	1,43511450381679	-94	-1,22137404580153	96	-1,46564885496183	330	0,3	233	-0,211818181818182	-520	-0,530612244897959	
19840	50585,9375	1242	2,50602409638554	1839	9,69879518072289	2035	0,144578313253012	-4352	2,66830165542612	15808	-9,69221336603311	-320	0,196198651134273	24	1,6030534351145	-105	-0,366412213740458	103	-1,57251908396947	317	0,288181818181818	227	-0,206363636363636	-521	-0,531632653061225	
20480	50605,46875	1238	2,4578313253012	1843	9,74698795180723	2034	0,156626506024096	-4352	2,66830165542612	15744	-9,65297363580625	-320	0,196198651134273	-29	1,83206106870229	-120	0,442748091603053	107	-1,63358778625954	324	0,294545454545455	213	-0,193636363636364	-515	-0,525510204081633	
21120	50625	1237	2,55421686746988	1835	9,75903614457831	2033	0,168674698795181	-4480	2,74678111587983	15744	-9,65297363580625	-320	0,196198651134273	-42	1,00763358778626	-66	0,641221374045801	91	-1,38931297709924	326	0,296363636363636	222	-0,201818181818182	-512	-0,522448979591837	
21760	50644,53125	1237	2,46987951807229	1842	9,75903614457831	2032	0,180722891566265	-4224	2,58982219497241	15872	-9,73145309625996	-256	0,156958920907419	-33	1,37404580152672	-90	0,50381679389313	62	-0,946564885496183	329	0,299090909090909	212	-0,192727272727273	-513	-0,523469387755102	
