Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	
Timestamp	Timestamp	Low Noise Accelerometer X	Low Noise Accelerometer X	Low Noise Accelerometer Y	Low Noise Accelerometer Y	Low Noise Accelerometer Z	Low Noise Accelerometer Z	Wide Range Accelerometer X	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Wide Range Accelerometer Z	Gyroscope X	Gyroscope X	Gyroscope Y	Gyroscope Y	Gyroscope Z	Gyroscope Z	Magnetometer X	Magnetometer X	Magnetometer Y	Magnetometer Y	Magnetometer Z	Magnetometer Z	
RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	
no units	mSecs	no units	m/(sec^2)*	no units	m/(sec^2)*	no units	m/(sec^2)*	no units	m/(sec^2)*	no units	m/(sec^2)*	no units	m/(sec^2)*	no units	deg/sec*	no units	deg/sec*	no units	deg/sec*	no units	local*	no units	local*	no units	local*	
640	90000	2416	1,83132530120482	1895	-4,44578313253012	1363	8,24096385542169	-3392	2,0797057020233	-8000	4,90496627835684	-14400	8,8289393010423	0	0	0	0	0	0	208	0,189090909090909	776	-0,705454545454545	-291	-0,296938775510204	
1280	90019,53125	2412	1,89156626506024	1890	-4,39759036144578	1365	8,21686746987952	-3328	2,04046597179644	-7808	4,78724708767627	-14208	8,71122011036174	3440	9,70992366412214	-636	-52,5190839694656	5932	-90,5648854961832	216	0,196363636363636	768	-0,698181818181818	-297	-0,303061224489796	
1920	90039,0625	2407	1,95180722891566	1885	-4,33734939759036	1361	8,26506024096386	-3584	2,19742489270386	-7808	4,78724708767627	-14272	8,7504598405886	164	2,25954198473282	-148	-2,50381679389313	59	-0,900763358778626	218	0,198181818181818	769	-0,699090909090909	-295	-0,301020408163265	
2560	90058,59375	2410	2,04819277108434	1877	-4,37349397590361	1360	8,27710843373494	-3520	2,15818516247701	-7808	4,78724708767627	-14208	8,71122011036174	124	2,38167938931298	-156	-1,89312977099237	86	-1,31297709923664	215	0,195454545454545	790	-0,718181818181818	-298	-0,304081632653061	
3200	90078,125	2414	2,06024096385542	1876	-4,42168674698795	1357	8,31325301204819	-3712	2,27590435315757	-7808	4,78724708767627	-14336	8,78969957081545	51	1,83206106870229	-120	-0,778625954198473	104	-1,58778625954198	219	0,199090909090909	774	-0,703636363636364	-301	-0,307142857142857	
3840	90097,65625	2411	2,12048192771084	1871	-4,3855421686747	1351	8,3855421686747	-3776	2,31514408338443	-7936	4,86572654812998	-14272	8,7504598405886	17	2,38167938931298	-156	-0,259541984732824	98	-1,49618320610687	211	0,191818181818182	776	-0,705454545454545	-293	-0,298979591836735	
4480	90117,1875	2408	2,02409638554217	1879	-4,34939759036145	1357	8,31325301204819	-3648	2,23666462293072	-7808	4,78724708767627	-14272	8,7504598405886	-22	2,45801526717557	-161	0,33587786259542	90	-1,37404580152672	211	0,191818181818182	785	-0,713636363636364	-294	-0,3	
5120	90136,71875	2417	2,02409638554217	1879	-4,45783132530121	1359	8,28915662650602	-3584	2,19742489270386	-8000	4,90496627835684	-14272	8,7504598405886	26	1,00763358778626	-66	-0,396946564885496	78	-1,19083969465649	219	0,199090909090909	770	-0,7	-289	-0,294897959183674	
5760	90156,25	2417	1,97590361445783	1883	-4,45783132530121	1365	8,21686746987952	-3648	2,23666462293072	-8064	4,94420600858369	-14144	8,67198038013489	108	0,656488549618321	-43	-1,64885496183206	40	-0,610687022900763	211	0,191818181818182	773	-0,702727272727273	-293	-0,298979591836735	
6400	90175,78125	2420	1,90361445783133	1889	-4,49397590361446	1368	8,18072289156627	-3392	2,0797057020233	-8064	4,94420600858369	-13952	8,55426118945432	35	0,641221374045801	-42	-0,534351145038168	58	-0,885496183206107	202	0,183636363636364	798	-0,725454545454545	-301	-0,307142857142857	
7040	90195,3125	2421	1,91566265060241	1888	-4,50602409638554	1370	8,1566265060241	-3456	2,11894543225015	-8000	4,90496627835684	-14080	8,63274064990803	-49	0,259541984732824	-17	0,748091603053435	90	-1,37404580152672	215	0,195454545454545	767	-0,697272727272727	-288	-0,293877551020408	
7680	90214,84375	2417	1,98795180722892	1882	-4,45783132530121	1365	8,21686746987952	-3584	2,19742489270386	-8064	4,94420600858369	-14144	8,67198038013489	-48	0,885496183206107	-58	0,732824427480916	118	-1,80152671755725	214	0,194545454545455	789	-0,717272727272727	-300	-0,306122448979592	
8320	90234,375	2414	1,98795180722892	1882	-4,42168674698795	1370	8,1566265060241	-3648	2,23666462293072	-7936	4,86572654812998	-14080	8,63274064990803	-7	1,63358778625954	-107	0,106870229007634	94	-1,43511450381679	207	0,188181818181818	799	-0,726363636363636	-302	-0,308163265306122	
8960	90253,90625	2422	1,90361445783133	1889	-4,51807228915663	1373	8,12048192771084	-3456	2,11894543225015	-8128	4,98344573881055	-13952	8,55426118945432	7	1,0381679389313	-68	-0,106870229007634	79	-1,20610687022901	212	0,192727272727273	776	-0,705454545454545	-293	-0,298979591836735	
9600	90273,4375	2425	2,08433734939759	1874	-4,55421686746988	1364	8,2289156626506	-3712	2,27590435315757	-8192	5,0226854690374	-14208	8,71122011036174	47	0,412213740458015	-27	-0,717557251908397	55	-0,83969465648855	209	0,19	792	-0,72	-295	-0,301020408163265	
10240	90292,96875	2418	2,10843373493976	1872	-4,46987951807229	1356	8,32530120481928	-3968	2,43286327406499	-8000	4,90496627835684	-14144	8,67198038013489	34	2,12213740458015	-139	-0,519083969465649	56	-0,854961832061069	214	0,194545454545455	796	-0,723636363636364	-300	-0,306122448979592	
10880	90312,5	2413	2,01204819277108	1880	-4,40963855421687	1351	8,3855421686747	-3584	2,19742489270386	-7808	4,78724708767627	-14464	8,86817903126916	-77	2,93129770992366	-192	1,17557251908397	118	-1,80152671755725	207	0,188181818181818	777	-0,706363636363636	-306	-0,312244897959184	
11520	90332,03125	2410	2,14457831325301	1869	-4,37349397590361	1338	8,54216867469879	-3904	2,39362354383814	-7936	4,86572654812998	-14592	8,94665849172287	-28	1,74045801526718	-114	0,427480916030534	89	-1,3587786259542	217	0,197272727272727	768	-0,698181818181818	-299	-0,305102040816327	
12160	90351,5625	2406	1,96385542168675	1884	-4,32530120481928	1348	8,42168674698795	-3712	2,27590435315757	-7744	4,74800735744942	-14336	8,78969957081545	-24	1,38931297709924	-91	0,366412213740458	51	-0,778625954198473	207	0,188181818181818	786	-0,714545454545455	-293	-0,298979591836735	
12800	90371,09375	2420	1,8433734939759	1894	-4,49397590361446	1360	8,27710843373494	-3264	2,00122624156959	-7936	4,86572654812998	-14144	8,67198038013489	-90	-2,09160305343511	137	1,37404580152672	-3	0,0458015267175573	219	0,199090909090909	783	-0,711818181818182	-303	-0,309183673469388	
13440	90390,625	2416	1,98795180722892	1882	-4,44578313253012	1362	8,25301204819277	-3456	2,11894543225015	-7936	4,86572654812998	-14400	8,8289393010423	39	-2,29007633587786	150	-0,595419847328244	-15	0,229007633587786	218	0,198181818181818	768	-0,698181818181818	-298	-0,304081632653061	
14080	90410,15625	2414	1,89156626506024	1890	-4,42168674698795	1369	8,16867469879518	-3392	2,0797057020233	-7872	4,82648681790313	-14016	8,59350091968118	-32	-0,885496183206107	58	0,488549618320611	45	-0,687022900763359	212	0,192727272727273	783	-0,711818181818182	-294	-0,3	
14720	90429,6875	2424	1,85542168674699	1893	-4,5421686746988	1379	8,04819277108434	-3456	2,11894543225015	-8128	4,98344573881055	-13888	8,51502145922747	-182	-2,51908396946565	165	2,77862595419847	100	-1,52671755725191	216	0,196363636363636	788	-0,716363636363636	-301	-0,307142857142857	
15360	90449,21875	2420	2	1881	-4,49397590361446	1380	8,03614457831325	-3456	2,11894543225015	-8192	5,0226854690374	-13888	8,51502145922747	-85	-1,80152671755725	118	1,29770992366412	112	-1,70992366412214	211	0,191818181818182	775	-0,704545454545455	-296	-0,302040816326531	
16000	90468,75	2416	2,06024096385542	1876	-4,44578313253012	1380	8,03614457831325	-3776	2,31514408338443	-8064	4,94420600858369	-13888	8,51502145922747	48	0,488549618320611	-32	-0,732824427480916	90	-1,37404580152672	209	0,19	783	-0,711818181818182	-296	-0,302040816326531	
16640	90488,28125	2424	2,03614457831325	1878	-4,5421686746988	1363	8,24096385542169	-3712	2,27590435315757	-8128	4,98344573881055	-14144	8,67198038013489	-3	0,122137404580153	-8	0,0458015267175573	27	-0,412213740458015	217	0,197272727272727	768	-0,698181818181818	-291	-0,296938775510204	
17280	90507,8125	2417	2,2289156626506	1862	-4,45783132530121	1358	8,30120481927711	-3904	2,39362354383814	-8064	4,94420600858369	-14336	8,78969957081545	-57	1,83206106870229	-120	0,870229007633588	-6	0,0916030534351145	211	0,191818181818182	779	-0,708181818181818	-294	-0,3	
17920	90527,34375	2426	1,91566265060241	1888	-4,56626506024096	1357	8,31325301204819	-3392	2,0797057020233	-8064	4,94420600858369	-14208	8,71122011036174	11	2,03053435114504	-133	-0,16793893129771	-86	1,31297709923664	198	0,18	786	-0,714545454545455	-302	-0,308163265306122	
18560	90546,875	2430	1,92771084337349	1887	-4,6144578313253	1358	8,30120481927711	-3520	2,15818516247701	-8128	4,98344573881055	-14272	8,7504598405886	16	-0,396946564885496	26	-0,244274809160305	-64	0,977099236641221	216	0,196363636363636	767	-0,697272727272727	-294	-0,3	
19200	90566,40625	2413	1,93975903614458	1886	-4,40963855421687	1356	8,32530120481928	-3456	2,11894543225015	-7936	4,86572654812998	-14208	8,71122011036174	60	0,900763358778626	-59	-0,916030534351145	-59	0,900763358778626	212	0,192727272727273	803	-0,73	-298	-0,304081632653061	
19840	90585,9375	2414	1,91566265060241	1888	-4,42168674698795	1357	8,31325301204819	-3520	2,15818516247701	-7872	4,82648681790313	-14272	8,7504598405886	43	0,381679389312977	-25	-0,656488549618321	-19	0,290076335877863	217	0,197272727272727	781	-0,71	-300	-0,306122448979592	
20480	90605,46875	2414	1,95180722891566	1885	-4,42168674698795	1362	8,25301204819277	-3456	2,11894543225015	-7936	4,86572654812998	-14208	8,71122011036174	-17	-0,778625954198473	51	0,259541984732824	-15	0,229007633587786	206	0,187272727272727	782	-0,710909090909091	-303	-0,309183673469388	
21120	90625	2415	1,95180722891566	1885	-4,43373493975904	1365	8,21686746987952	-3584	2,19742489270386	-7936	4,86572654812998	-13952	8,55426118945432	-59	-0,916030534351145	60	0,900763358778626	30	-0,458015267175573	210	0,190909090909091	783	-0,711818181818182	-295	-0,301020408163265	
21760	90644,53125	2419	1,97590361445783	1883	-4,48192771084337	1372	8,13253012048193	-3520	2,15818516247701	-8000	4,90496627835684	-13888	8,51502145922747	-13	-1,05343511450382	69	0,198473282442748	16	-0,244274809160305	215	0,195454545454545	766	-0,696363636363636	-294	-0,3	
