Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	
Timestamp	Timestamp	Low Noise Accelerometer X	Low Noise Accelerometer X	Low Noise Accelerometer Y	Low Noise Accelerometer Y	Low Noise Accelerometer Z	Low Noise Accelerometer Z	Wide Range Accelerometer X	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Wide Range Accelerometer Z	Gyroscope X	Gyroscope X	Gyroscope Y	Gyroscope Y	Gyroscope Z	Gyroscope Z	Magnetometer X	Magnetometer X	Magnetometer Y	Magnetometer Y	Magnetometer Z	Magnetometer Z	
RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	
no units	mSecs	no units	m/(sec^2)*	no units	m/(sec^2)*	no units	m/(sec^2)*	no units	m/(sec^2)*	no units	m/(sec^2)*	no units	m/(sec^2)*	no units	deg/sec*	no units	deg/sec*	no units	deg/sec*	no units	local*	no units	local*	no units	local*	
640	84000	2483	2,6144578313253	1830	-5,25301204819277	1428	7,45783132530121	-4672	2,86450030656039	-9280	5,68976088289393	-12992	7,9656652360515	0	0	0	0	0	0	247	0,224545454545455	783	-0,711818181818182	-289	-0,294897959183674	
1280	84019,53125	2480	2,49397590361446	1840	-5,21686746987952	1430	7,43373493975904	-4352	2,66830165542612	-9280	5,68976088289393	-12800	7,84794604537094	3039	7,19083969465649	-471	-46,3969465648855	5862	-89,4961832061069	251	0,228181818181818	780	-0,709090909090909	-290	-0,295918367346939	
1920	84039,0625	2478	2,59036144578313	1832	-5,19277108433735	1429	7,44578313253012	-4480	2,74678111587983	-9152	5,61128142244022	-12800	7,84794604537094	-13	1,31297709923664	-86	0,198473282442748	37	-0,564885496183206	245	0,222727272727273	819	-0,744545454545455	-301	-0,307142857142857	
2560	84058,59375	2482	2,50602409638554	1839	-5,24096385542169	1428	7,45783132530121	-4352	2,66830165542612	-9024	5,53280196198651	-12864	7,88718577559779	7	1,81679389312977	-119	-0,106870229007634	66	-1,00763358778626	250	0,227272727272727	798	-0,725454545454545	-291	-0,296938775510204	
3200	84078,125	2480	2,67469879518072	1825	-5,21686746987952	1421	7,5421686746988	-4608	2,82526057633354	-9216	5,65052115266707	-13056	8,00490496627836	0	1,11450381679389	-73	0	70	-1,06870229007634	233	0,211818181818182	804	-0,730909090909091	-295	-0,301020408163265	
3840	84097,65625	2480	2,72289156626506	1821	-5,21686746987952	1416	7,60240963855422	-4608	2,82526057633354	-9344	5,72900061312078	-13120	8,04414469650521	67	2,62595419847328	-172	-1,02290076335878	80	-1,22137404580153	243	0,220909090909091	800	-0,727272727272727	-289	-0,294897959183674	
4480	84117,1875	2487	2,63855421686747	1828	-5,30120481927711	1417	7,59036144578313	-4480	2,74678111587983	-9344	5,72900061312078	-13056	8,00490496627836	-13	2,19847328244275	-144	0,198473282442748	63	-0,961832061068702	250	0,227272727272727	795	-0,722727272727273	-297	-0,303061224489796	
5120	84136,71875	2481	2,65060240963855	1827	-5,2289156626506	1415	7,6144578313253	-4608	2,82526057633354	-9280	5,68976088289393	-13056	8,00490496627836	81	1,9236641221374	-126	-1,23664122137405	13	-0,198473282442748	243	0,220909090909091	785	-0,713636363636364	-290	-0,295918367346939	
5760	84156,25	2481	2,55421686746988	1835	-5,2289156626506	1414	7,62650602409639	-4416	2,70754138565297	-9216	5,65052115266707	-13120	8,04414469650521	145	2,7175572519084	-178	-2,21374045801527	-25	0,381679389312977	244	0,221818181818182	798	-0,725454545454545	-289	-0,294897959183674	
6400	84175,78125	2484	2,49397590361446	1840	-5,26506024096386	1417	7,59036144578313	-4224	2,58982219497241	-9280	5,68976088289393	-13120	8,04414469650521	67	1,38931297709924	-91	-1,02290076335878	-15	0,229007633587786	251	0,228181818181818	782	-0,710909090909091	-288	-0,293877551020408	
7040	84195,3125	2474	2,57831325301205	1833	-5,14457831325301	1423	7,51807228915663	-4480	2,74678111587983	-9024	5,53280196198651	-13056	8,00490496627836	95	2,51908396946565	-165	-1,45038167938931	-6	0,0916030534351145	243	0,220909090909091	789	-0,717272727272727	-287	-0,292857142857143	
7680	84214,84375	2477	2,55421686746988	1835	-5,18072289156627	1423	7,51807228915663	-4416	2,70754138565297	-9088	5,57204169221337	-12992	7,9656652360515	68	2,54961832061069	-167	-1,0381679389313	-16	0,244274809160305	238	0,216363636363636	790	-0,718181818181818	-295	-0,301020408163265	
8320	84234,375	2487	2,51807228915663	1838	-5,30120481927711	1430	7,43373493975904	-4480	2,74678111587983	-9280	5,68976088289393	-12864	7,88718577559779	-3	1,55725190839695	-102	0,0458015267175573	-42	0,641221374045801	253	0,23	780	-0,709090909090909	-290	-0,295918367346939	
8960	84253,90625	2487	2,65060240963855	1827	-5,30120481927711	1421	7,5421686746988	-4544	2,78602084610668	-9344	5,72900061312078	-13056	8,00490496627836	66	1,58778625954198	-104	-1,00763358778626	-18	0,274809160305344	245	0,222727272727273	806	-0,732727272727273	-294	-0,3	
9600	84273,4375	2479	2,66265060240964	1826	-5,20481927710843	1412	7,65060240963855	-4608	2,82526057633354	-9216	5,65052115266707	-13184	8,08338442673207	63	3,31297709923664	-217	-0,961832061068702	54	-0,82442748091603	251	0,228181818181818	790	-0,718181818181818	-290	-0,295918367346939	
10240	84292,96875	2475	2,74698795180723	1819	-5,1566265060241	1406	7,72289156626506	-4736	2,90374003678725	-9024	5,53280196198651	-13312	8,16186388718578	29	3,06870229007634	-201	-0,442748091603053	50	-0,763358778625954	245	0,222727272727273	781	-0,71	-287	-0,292857142857143	
10880	84312,5	2468	2,72289156626506	1821	-5,07228915662651	1407	7,71084337349398	-4544	2,78602084610668	-8896	5,4543225015328	-13312	8,16186388718578	4	2,91603053435114	-191	-0,0610687022900763	4	-0,0610687022900763	246	0,223636363636364	795	-0,722727272727273	-291	-0,296938775510204	
11520	84332,03125	2474	2,53012048192771	1837	-5,14457831325301	1414	7,62650602409639	-4544	2,78602084610668	-9024	5,53280196198651	-13184	8,08338442673207	-26	1,70992366412214	-112	0,396946564885496	-58	0,885496183206107	251	0,228181818181818	780	-0,709090909090909	-284	-0,289795918367347	
12160	84351,5625	2474	2,50602409638554	1839	-5,14457831325301	1422	7,53012048192771	-4288	2,62906192519926	-9088	5,57204169221337	-12992	7,9656652360515	16	0,122137404580153	-8	-0,244274809160305	-75	1,14503816793893	244	0,221818181818182	793	-0,720909090909091	-300	-0,306122448979592	
12800	84371,09375	2474	2,5421686746988	1836	-5,14457831325301	1424	7,50602409638554	-4480	2,74678111587983	-9152	5,61128142244022	-12992	7,9656652360515	96	0,564885496183206	-37	-1,46564885496183	-39	0,595419847328244	250	0,227272727272727	780	-0,709090909090909	-293	-0,298979591836735	
13440	84390,625	2478	2,57831325301205	1833	-5,19277108433735	1425	7,49397590361446	-4480	2,74678111587983	-9024	5,53280196198651	-13120	8,04414469650521	29	0,656488549618321	-43	-0,442748091603053	-1	0,0152671755725191	240	0,218181818181818	803	-0,73	-289	-0,294897959183674	
14080	84410,15625	2475	2,63855421686747	1828	-5,1566265060241	1418	7,57831325301205	-4416	2,70754138565297	-9024	5,53280196198651	-13056	8,00490496627836	-19	1,51145038167939	-99	0,290076335877863	48	-0,732824427480916	252	0,229090909090909	802	-0,729090909090909	-293	-0,298979591836735	
14720	84429,6875	2469	2,71084337349398	1822	-5,08433734939759	1414	7,62650602409639	-4736	2,90374003678725	-8960	5,49356223175966	-13056	8,00490496627836	1	1,96946564885496	-129	-0,0152671755725191	62	-0,946564885496183	248	0,225454545454545	784	-0,712727272727273	-295	-0,301020408163265	
15360	84449,21875	2469	2,65060240963855	1827	-5,08433734939759	1410	7,67469879518072	-4672	2,86450030656039	-8832	5,41508277130595	-13120	8,04414469650521	-68	2,19847328244275	-144	1,0381679389313	54	-0,82442748091603	243	0,220909090909091	793	-0,720909090909091	-291	-0,296938775510204	
16000	84468,75	2481	2,65060240963855	1827	-5,2289156626506	1409	7,68674698795181	-4608	2,82526057633354	-9216	5,65052115266707	-13248	8,12262415695892	-6	0,549618320610687	-36	0,0916030534351145	33	-0,50381679389313	246	0,223636363636364	792	-0,72	-292	-0,297959183673469	
16640	84488,28125	2479	2,62650602409639	1829	-5,20481927710843	1412	7,65060240963855	-4544	2,78602084610668	-9152	5,61128142244022	-13120	8,04414469650521	47	0,381679389312977	-25	-0,717557251908397	38	-0,580152671755725	252	0,229090909090909	780	-0,709090909090909	-284	-0,289795918367347	
17280	84507,8125	2476	2,59036144578313	1832	-5,16867469879518	1413	7,63855421686747	-4480	2,74678111587983	-9216	5,65052115266707	-13184	8,08338442673207	46	0,549618320610687	-36	-0,702290076335878	36	-0,549618320610687	247	0,224545454545455	777	-0,706363636363636	-289	-0,294897959183674	
17920	84527,34375	2475	2,62650602409639	1829	-5,1566265060241	1412	7,65060240963855	-4480	2,74678111587983	-9152	5,61128142244022	-13120	8,04414469650521	2	0,717557251908397	-47	-0,0305343511450382	34	-0,519083969465649	253	0,23	778	-0,707272727272727	-289	-0,294897959183674	
18560	84546,875	2474	2,56626506024096	1834	-5,14457831325301	1414	7,62650602409639	-4544	2,78602084610668	-9152	5,61128142244022	-13312	8,16186388718578	-32	0,656488549618321	-43	0,488549618320611	9	-0,137404580152672	251	0,228181818181818	779	-0,708181818181818	-281	-0,286734693877551	
19200	84566,40625	2476	2,55421686746988	1835	-5,16867469879518	1416	7,60240963855422	-4480	2,74678111587983	-9216	5,65052115266707	-13184	8,08338442673207	-26	0,458015267175573	-30	0,396946564885496	23	-0,351145038167939	242	0,22	796	-0,723636363636364	-294	-0,3	
19840	84585,9375	2476	2,63855421686747	1828	-5,16867469879518	1417	7,59036144578313	-4544	2,78602084610668	-9216	5,65052115266707	-13056	8,00490496627836	-21	-0,152671755725191	10	0,320610687022901	21	-0,320610687022901	250	0,227272727272727	776	-0,705454545454545	-292	-0,297959183673469	
20480	84605,46875	2472	2,60240963855422	1831	-5,12048192771084	1414	7,62650602409639	-4416	2,70754138565297	-9024	5,53280196198651	-13056	8,00490496627836	-29	0,595419847328244	-39	0,442748091603053	12	-0,183206106870229	241	0,219090909090909	799	-0,726363636363636	-295	-0,301020408163265	
21120	84625	2471	2,57831325301205	1833	-5,10843373493976	1420	7,55421686746988	-4416	2,70754138565297	-9088	5,57204169221337	-13056	8,00490496627836	-84	0,305343511450382	-20	1,2824427480916	30	-0,458015267175573	250	0,227272727272727	799	-0,726363636363636	-295	-0,301020408163265	
21760	84644,53125	2474	2,60240963855422	1831	-5,14457831325301	1416	7,60240963855422	-4480	2,74678111587983	-9152	5,61128142244022	-13184	8,08338442673207	-88	-0,16793893129771	11	1,34351145038168	58	-0,885496183206107	249	0,226363636363636	779	-0,708181818181818	-288	-0,293877551020408	
